,lat,lon,name
420,49.2757856,-123.1211099,Blenz Coffee
425,49.111986,-122.6447076,Tim Hortons
429,49.2121193,-122.92345,Starbucks
432,49.0601698,-122.4932153,Tim Hortons
433,49.2209888,-122.662176,Tim Hortons
435,49.1776017,-122.6720141,Tim Hortons
439,49.033597,-122.801411,Tim Hortons
444,49.2825011,-123.1092466,Bean Around The World
445,49.2874022,-123.1169095,JJ Bean
450,49.2819635,-123.1333845,Blenz Coffee
453,49.2811646,-123.000747,Chatime
458,49.2710107,-123.0877506,Starbucks
462,49.2132918,-122.9209441,Blenz
469,49.2793592,-123.099328,Tim Hortons
479,49.2287527,-123.001236,Coco
480,49.2638336,-123.1407841,Tim Hortons
487,49.287236,-123.141423,Starbucks
495,49.0762012,-122.6689193,Starbucks
498,49.103395,-122.4903841,Tim Hortons
504,49.2092621,-123.1166316,Tim Hortons
505,49.213617,-122.9192219,Coco
507,49.2011009,-122.9128362,Starbucks
510,49.3164945,-123.078151,Bean Around The World
513,49.0587485,-122.3800043,Starbucks
514,49.276406,-122.7928576,JJ Bean
516,49.2813258,-123.0470187,Starbucks
517,49.2728133,-123.1476034,Starbucks
520,49.2453491,-123.1247917,Starbucks
523,49.3338382,-123.0384328,Tim Hortons
524,49.0304235,-122.792013,Tim Hortons
527,49.1973353,-123.138223,Starbucks
529,49.1928452,-122.8890116,Tim Hortons
541,49.1338527,-122.6674407,Tim Hortons
550,49.2694623,-123.1063731,Blenz Coffee
551,49.2642394,-123.1144691,Starbucks
553,49.2840399,-123.123561,Starbucks
556,49.1206115,-122.8911666,Starbucks
557,49.3742157,-123.2730541,Blenz
558,49.3743101,-123.2741597,Starbucks
559,49.220423,-122.973346,Coco
563,49.2492777,-122.892153,Coco
564,49.2657613,-123.004848,Starbucks
571,49.2329446,-123.0653099,Tim Hortons
581,49.2063341,-123.0304797,Starbucks
587,49.1950338,-123.1772197,Starbucks
588,49.2850471,-123.112065,Tim Hortons
594,49.280139,-123.127256,Starbucks
601,49.3256455,-123.140603,Starbucks
604,49.2802809,-123.118395,Chatime
605,49.2776017,-123.127219,Tim Hortons
606,49.1891857,-122.8463132,Chatime
607,49.1821446,-122.8439927,Tim Hortons
608,49.1830591,-122.8446583,Starbucks
609,49.2117388,-122.862483,Tim Hortons
610,49.1915327,-122.8908779,Starbucks
612,49.2599354,-123.114726,Sharetea
613,49.2658085,-123.1223088,Tim Hortons
621,49.1705783,-122.6673637,Tim Hortons
630,49.2878449,-123.1238651,Starbucks
644,49.2825404,-123.116622,Starbucks
646,49.2195226,-123.0410962,Starbucks
649,49.1917416,-122.8039614,Coco
654,49.2896767,-123.1323042,Blenz
657,49.284888,-123.118063,Starbucks
660,49.2840267,-123.1122692,Blenz Coffee
668,49.28207,-123.1137317,JJ Bean
670,49.2868125,-123.113169,Blenz Coffee
674,49.2902367,-123.137573,Blenz Coffee
676,49.184947,-123.129114,Coco
677,49.3056043,-123.018438,Starbucks
682,49.3242961,-123.0725862,Starbucks
683,49.3219602,-123.0725372,Blenz
685,49.3224421,-123.0726121,Tim Hortons
687,49.2846537,-123.1152837,Starbucks
688,49.2849331,-123.115686,Tim Hortons
689,49.2859592,-123.115236,Starbucks
690,49.0249232,-123.069085,Tim Hortons
691,49.027368,-123.0689767,Starbucks
696,49.1972158,-123.1766936,Starbucks
699,49.1968203,-123.140299,Tim Hortons
701,49.190133,-122.8005562,Tim Hortons
702,49.2631287,-122.8387733,Starbucks
709,49.0601621,-122.4944377,Starbucks
712,49.2627207,-123.1001879,Starbucks
714,49.2706869,-122.755531,Starbucks
718,49.2812759,-123.0464917,Tim Hortons
720,49.2848477,-123.120957,Tim Hortons
723,49.2875394,-123.1200147,Starbucks
724,49.1644966,-122.664803,Starbucks
732,49.2657886,-123.2467173,Chatime
733,49.2323782,-123.025466,Sharetea
735,49.1874924,-123.1314015,Sharetea
740,49.2960431,-122.8036307,Starbucks
741,49.269022,-123.146012,Starbucks
744,49.2233012,-122.671355,Tim Hortons
745,49.2612715,-123.2465592,Starbucks
748,49.2699188,-123.069826,Tim Hortons
749,49.0579509,-122.8020045,Starbucks
753,49.2637928,-123.1400621,Chatime
754,49.2668069,-123.004426,Coco
756,49.2335878,-123.06578,Starbucks
759,49.1247533,-122.7029021,Starbucks
766,49.2621866,-123.250135,Starbucks
768,49.2837737,-122.8279837,Starbucks
777,49.2590351,-122.9568258,Tim Hortons
782,49.2200438,-122.6569389,Starbucks
784,49.0889422,-122.599438,Tim Hortons
789,49.0080285,-123.1304068,Starbucks
791,49.2806543,-123.0045955,Starbucks
792,49.2812059,-123.0063757,Caffè Artigiano
804,49.2875882,-123.1216196,Tim Hortons
805,49.249466,-123.1156862,Tim Hortons
810,49.328484,-123.1608655,Starbucks
813,49.1910842,-122.947119,Starbucks
817,49.2486148,-123.15358,Starbucks
820,49.2830656,-123.1164538,Tim Hortons
828,49.1197375,-122.8229111,Tim Hortons
835,49.1964794,-123.127135,Starbucks
842,49.2057308,-123.0105665,Tim Hortons
843,49.2310932,-123.155862,Chatime
846,49.192354,-123.1801464,Starbucks
853,49.1985695,-122.779565,Starbucks
854,49.2809701,-123.107834,Tim Hortons
855,49.278021,-122.9094238,Tim Hortons
861,49.0308162,-122.834783,Tim Hortons
869,49.2799214,-122.9682102,Starbucks
871,49.0280072,-122.265842,Starbucks
881,49.096485,-122.6241046,Starbucks
888,49.2547323,-123.236635,Starbucks
894,49.2827821,-123.107962,JJ Bean
898,49.2701097,-123.109195,JJ Bean
899,49.2876852,-123.1205021,Caffè Artigiano
900,49.24921,-122.868771,Tim Hortons
905,49.279992,-123.117306,Tim Hortons
909,49.2502546,-123.0016169,Tim Hortons
918,49.1910007,-122.8446255,Starbucks
919,49.1864097,-122.8502764,Tim Hortons
920,49.2812108,-123.012161,Starbucks
921,49.2561422,-123.1855168,Tim Hortons
926,49.0580291,-122.3771818,Tim Hortons
927,49.0605563,-122.38281,Tim Hortons
930,49.1200141,-122.733542,Starbucks
935,49.2154085,-122.9240433,Tim Hortons
939,49.058254,-122.8022881,Tim Hortons
941,49.2596905,-123.043898,Starbucks
942,49.2586029,-123.030706,Starbucks
946,49.3250012,-123.1364923,Chatime
947,49.3252585,-123.1362043,Tim Hortons
949,49.2107044,-122.957397,Starbucks
950,49.2578202,-123.1682797,Starbucks
